Direction,N,N Published,Pub Rate,95% CI lower,95% CI upper
Positive (+1),48,44,91.67,80.45,96.71
Negative (-1),67,59,88.06,78.17,93.82
Null/Mixed (0),73,37,50.68,39.47,61.83
