Subset,N,Pct significant (|z|≥1.96),Caliper ratio,Caliper χ²,Caliper p,Disc z-stat,Disc p
Full sample,7761,57.1,1.2,9.48,0.002,-2.05,0.04
JF,1308,65.5,0.88,0.64,0.423,-6.74,0.0
RFS,2581,59.2,0.97,0.1,0.752,-1.34,0.18
JFE,3872,52.9,1.49,23.56,0.0,2.07,0.038
Positive-finding,2633,60.7,0.94,0.33,0.565,-0.75,0.456
Negative-finding,3491,54.9,1.52,22.54,0.0,1.33,0.183
Null-finding,1637,56.1,1.05,0.11,0.74,-5.33,0.0
