Corpus,Row type,N rows (std stars),Exact star-z match,Exact consistency %
Published,z-stat-only,2118,1824,86.1
Published,coef+SE,5471,5025,91.8
NBER,z-stat-only,1506,1020,67.7
NBER,coef+SE,6755,5677,84.0
