Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Matched-pairs (1): Binary,Intercept,-0.4677,0.2609,-1.793,0.073,-0.979,0.0436,*,50,0.0956
Matched-pairs (1): Binary,directional,0.9354,0.3689,2.535,0.0112,0.2123,1.6585,**,50,0.0956
Matched-pairs (2): Three-way,Intercept,-0.4677,0.2609,-1.793,0.073,-0.979,0.0436,*,50,0.0986
Matched-pairs (2): Three-way,pos,0.8338,0.4311,1.934,0.0531,-0.0112,1.6788,*,50,0.0986
Matched-pairs (2): Three-way,neg,1.0722,0.481,2.229,0.0258,0.1295,2.015,**,50,0.0986
Matched-pairs (3): + Year,Intercept,-0.4799,0.2641,-1.817,0.0692,-0.9975,0.0378,*,50,0.0975
Matched-pairs (3): + Year,directional,0.9553,0.3737,2.556,0.0106,0.2229,1.6877,**,50,0.0975
Matched-pairs (3): + Year,year_c,-0.0101,0.0279,-0.363,0.7166,-0.0649,0.0446,,50,0.0975
