corpus,subset,restriction,N,N_papers,pct_sig,below,above,caliper_ratio,caliper_chi2,caliper_p,p_boot,p_perm,boot_ci_lo,boot_ci_hi
published,Full sample,coef+SE only,5510,81,57.9,320,394,0.812,7.67,0.006,0.997,0.998,0.675,0.969
published,Negative-finding,coef+SE only,2424,38,58.7,111,158,0.703,8.21,0.004,1.0,0.999,0.538,0.899
published,Full sample,all rows,7761,108,57.1,611,508,1.203,9.48,0.002,0.15,0.001,0.883,1.662
nber,Full sample,coef+SE only,6788,90,56.2,416,438,0.95,0.57,0.452,0.704,0.781,0.798,1.139
nber,Negative-finding,coef+SE only,3411,41,59.5,181,208,0.87,1.87,0.171,0.871,0.922,0.67,1.132
nber,Full sample,all rows,8351,106,55.5,501,495,1.012,0.04,0.849,0.432,0.424,0.843,1.222
