direction,quasi_exp,pub_n,nber_n,total_n,pub_rate
Positive,0,17,32,49,0.347
Positive,1,30,24,54,0.556
Null/mixed,0,16,28,44,0.364
Null/mixed,1,12,4,16,0.75
Negative,0,23,36,59,0.39
Negative,1,36,33,69,0.522
Positive,All,47,56,103,0.456
Null/mixed,All,28,32,60,0.467
Negative,All,59,69,128,0.461
