Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
AFA (1): Bivariate,Intercept,-0.6745,0.2575,-2.6192,0.0088,-1.1792,-0.1698,***,108,0.0005
AFA (1): Bivariate,directional,0.0767,0.2978,0.2576,0.7967,-0.507,0.6604,,108,0.0005
AFA (2): + Year,Intercept,-0.696,0.2613,-2.663,0.0077,-1.2082,-0.1837,***,108,0.006
AFA (2): + Year,directional,0.0817,0.2998,0.2724,0.7853,-0.5059,0.6693,,108,0.006
AFA (2): + Year,year_c,-0.0222,0.0269,-0.8263,0.4086,-0.0749,0.0305,,108,0.006
AFA (3): + Authors,Intercept,-0.5001,0.5306,-0.9425,0.346,-1.54,0.5399,,108,0.0074
AFA (3): + Authors,directional,0.0945,0.302,0.313,0.7543,-0.4973,0.6863,,108,0.0074
AFA (3): + Authors,year_c,-0.0259,0.0282,-0.9181,0.3586,-0.0811,0.0294,,108,0.0074
AFA (3): + Authors,log_nauth,-0.1519,0.3584,-0.4238,0.6717,-0.8544,0.5506,,108,0.0074
