sample,subset,N,pct_sig,below,above,caliper_ratio,caliper_chi2,caliper_p
published,Full sample,7761,57.1,611,508,1.203,9.48,0.002
nber,Full sample,8351,55.5,501,495,1.012,0.04,0.849
published,Positive-finding,2633,60.7,177,188,0.941,0.33,0.565
nber,Positive-finding,2658,55.0,189,191,0.99,0.01,0.918
published,Negative-finding,3491,54.9,318,209,1.522,22.54,0.0
nber,Negative-finding,4375,57.0,239,240,0.996,0.0,0.964
published,Null-finding,1637,56.1,116,111,1.045,0.11,0.74
nber,Null-finding,1318,51.4,73,64,1.141,0.59,0.442
