Component,Value
Published overall ratio (observed),1.203
NBER overall ratio (observed),1.012
Observed gap,0.191
Within-type effect (at NBER composition),0.097
Composition effect,0.094
Published z-stat-only share,0.316
NBER z-stat-only share,0.21
Published coef+SE ratio,0.817
NBER coef+SE ratio,0.948
Published z-stat-only ratio,2.535
NBER z-stat-only ratio,1.58
