Corpus,Window,Total,"stars=""""",stars=*,stars=**,stars=***,Star-consistent (*),Consistency %
Published,"Below threshold (1.645,1.96)",279,135,142,2,0,142,50.9
Published,"Above threshold (1.96,2.275)",94,0,13,80,1,81,86.2
Published,Significant (z>1.96),1176,1,37,402,736,1138,96.8
NBER,"Below threshold (1.645,1.96)",74,13,61,0,0,61,82.4
NBER,"Above threshold (1.96,2.275)",49,18,7,24,0,24,49.0
NBER,Significant (z>1.96),793,239,15,315,224,539,68.0
