Sample,N,Positive (%),Negative (%),Null/Mixed (%),Year mean
All papers,188,25.5,35.6,38.8,2014.7
NBER working papers,58,8.6,20.7,70.7,2012.4
Published (JF/RFS/JFE),140,31.4,42.1,26.4,2015.5
Published — JF,26,34.6,30.8,34.6,2012.7
Published — RFS,48,29.2,52.1,18.8,2017.1
Published — JFE,56,35.7,39.3,25.0,2015.8
