Metric,Published,NBER
Total papers in scope,134,157
Papers with ≥1 extracted stat,121,125
Coverage rate,90.3%,79.6%
Rows with coef+SE (internal check),5539,6831
Internally consistent (|coef/SE|≈z_abs),98.3%,99.7%
z-stat-only rows (no coef+SE),29.4% of extracted stats,19.9% of extracted stats
