Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Period: 2000-2007,Intercept,-0.8872,0.3625,-2.447,0.0144,-1.5977,-0.1766,**,50,0.0866
Period: 2000-2007,pos,0.9469,0.4542,2.085,0.0371,0.0566,1.8372,**,50,0.0866
Period: 2000-2007,neg,0.1508,0.5282,0.286,0.7752,-0.8844,1.186,,50,0.0866
Period: 2008-2015,Intercept,-0.7165,0.2235,-3.206,0.0013,-1.1545,-0.2785,***,95,0.0507
Period: 2008-2015,pos,0.662,0.344,1.925,0.0543,-0.0122,1.3361,*,95,0.0507
Period: 2008-2015,neg,0.7165,0.3101,2.311,0.0208,0.1088,1.3242,**,95,0.0507
Period: 2016-2024,Intercept,-0.1992,0.2048,-0.973,0.3307,-0.6006,0.2022,,146,0.0257
Period: 2016-2024,pos,0.2514,0.2733,0.92,0.3576,-0.2842,0.7871,,146,0.0257
Period: 2016-2024,neg,0.5845,0.2638,2.216,0.0267,0.0675,1.1015,**,146,0.0257
