window,sample,N,below,above,caliper_ratio,caliper_p,p_boot,p_perm
Standard (1.645–2.275),published,7761,611,508,1.203,0.002,0.15,0.001
Standard (1.645–2.275),nber,8351,501,495,1.012,0.849,0.432,0.424
Narrow   (1.70–2.22),published,7761,542,408,1.328,0.0,0.102,0.0
Narrow   (1.70–2.22),nber,8351,416,413,1.007,0.917,0.446,0.468
Wide     (1.50–2.42),published,7761,807,877,0.92,0.088,0.694,0.96
Wide     (1.50–2.42),nber,8351,726,749,0.969,0.549,0.655,0.737
Brodeur (1.66–2.26),published,7761,594,478,1.243,0.0,0.132,0.0
Brodeur (1.66–2.26),nber,8351,485,476,1.019,0.772,0.406,0.395
