Specification,Variable,Coefficient,Std Error,z-stat,p-value,CI 2.5%,CI 97.5%,Significance,N,Pseudo R2
Binary: Bivariate,Intercept,-0.3561,0.1112,-3.201,0.0014,-0.574,-0.1381,***,296,0.1782
Binary: Bivariate,directional,1.3032,0.1607,8.11,0.0,0.9883,1.6181,***,296,0.1782
Binary: + Year,Intercept,-0.3443,0.1124,-3.064,0.0022,-0.5645,-0.124,***,296,0.1796
Binary: + Year,directional,1.2832,0.1629,7.88,0.0,0.964,1.6024,***,296,0.1796
Binary: + Year,year_c,0.0092,0.0124,0.742,0.4578,-0.0151,0.0335,,296,0.1796
Binary: + Author Count,Intercept,-0.2137,0.405,-0.528,0.5978,-1.0075,0.5802,,296,0.1799
Binary: + Author Count,directional,1.2789,0.1633,7.829,0.0,0.9587,1.599,***,296,0.1799
Binary: + Author Count,year_c,0.0102,0.0127,0.799,0.4242,-0.0148,0.0351,,296,0.1799
Binary: + Author Count,log_nauth,-0.101,0.3011,-0.335,0.7373,-0.6912,0.4891,,296,0.1799
