Robustness check,Variable,Coefficient,Std Error,p-value,N,Pseudo R2,Stars
R1: Quasi-experimental only,pos,-0.598,0.3859,0.1212,139,0.0255,
R1: Quasi-experimental only,neg,-0.6564,0.3759,0.0808,139,0.0255,*
R2: Exclude monetary policy,pos,-0.028,0.2143,0.8959,270,0.0261,
R2: Exclude monetary policy,neg,-0.0676,0.2047,0.7414,270,0.0261,
R3: JF only,pos,0.4001,0.3241,0.2171,291,0.022,
R3: JF only,neg,0.3502,0.3184,0.2714,291,0.022,
R3: RFS+JFE only,pos,-0.1471,0.2097,0.483,291,0.04,
R3: RFS+JFE only,neg,-0.1301,0.2019,0.5193,291,0.04,
R4: High-confidence LLM coding,pos,-0.1238,0.2878,0.6672,207,0.0084,
R4: High-confidence LLM coding,neg,-0.0698,0.2813,0.804,207,0.0084,
R8: + log(abstract length) [lower-bound spec],pos,0.0083,0.2055,0.9677,291,0.0209,
R8: + log(abstract length) [lower-bound spec],neg,0.0107,0.2006,0.9576,291,0.0209,
R9: Matched pairs only,Positive,1.0,,,9,,
R9: Matched pairs only,Negative,1.0,,,6,,
R9: Matched pairs only,Null,1.0,,,1,,
R10: Right-censoring (vintage ≤2020),pos,-0.021,0.2313,0.9276,234,0.0211,
R10: Right-censoring (vintage ≤2020),neg,-0.1435,0.2228,0.5194,234,0.0211,
